CD_auc,HYP_auc,MI_auc,NORM_auc,STTC_auc,condition,macro_auc,macro_auprc,macro_brier,macro_ece,n_test,seed,variant,w_fused
0.9195100166786704,0.9087715286101823,0.9275408208296558,0.9505341354824877,0.9357515076392012,mask_only,0.9284216018480395,0.8192848081625392,0.09718835294908737,0.07703117230441738,2198,2036,none,1.0
0.9195100166786704,0.9087715286101823,0.9275408208296558,0.9505341354824877,0.9357515076392012,none,0.9284216018480395,0.8192848081625392,0.09718835294908737,0.07703117230441738,2198,2036,none,1.0
0.9166090178537585,0.9103329442937355,0.9260403795233891,0.9492611230928988,0.936207032711965,normal,0.9276900994951494,0.8205203512844689,0.09684022584794717,0.07796236038305063,2198,2037,none,1.0
0.9166090178537585,0.9103329442937355,0.9260403795233891,0.9492611230928988,0.936207032711965,shuffle_val,0.9276900994951494,0.8205203512844689,0.09684022584794717,0.07796236038305063,2198,2037,none,1.0
0.9166090178537585,0.9103329442937355,0.9260403795233891,0.9492611230928988,0.936207032711965,mask_only,0.9276900994951494,0.8205203512844689,0.09684022584794717,0.07796236038305063,2198,2037,none,1.0
0.9166090178537585,0.9103329442937355,0.9260403795233891,0.9492611230928988,0.936207032711965,none,0.9276900994951494,0.8205203512844689,0.09684022584794717,0.07796236038305063,2198,2037,none,1.0
0.9205559872635609,0.9135188631632074,0.9218203883495145,0.9468420632217976,0.9352650801117524,normal,0.9276004764219665,0.8186921177395169,0.09820912645689162,0.07612842311429832,2198,2038,none,1.0
0.9205559872635609,0.9135188631632074,0.9218203883495145,0.9468420632217976,0.9352650801117524,shuffle_val,0.9276004764219665,0.8186921177395169,0.09820912645689162,0.07612842311429832,2198,2038,none,1.0
0.9205559872635609,0.9135188631632074,0.9218203883495145,0.9468420632217976,0.9352650801117524,mask_only,0.9276004764219665,0.8186921177395169,0.09820912645689162,0.07612842311429832,2198,2038,none,1.0
0.9205559872635609,0.9135188631632074,0.9218203883495145,0.9468420632217976,0.9352650801117524,none,0.9276004764219665,0.8186921177395169,0.09820912645689162,0.07612842311429832,2198,2038,none,1.0
